Input State,Input Size,selectionSort,insertionSort,binaryInsertionSort,bubbleSort,shakerSort,shellSort,heapSort,mergeSort,quickSort,countSort,radixSort,flashSort
SORTED,1000,0.004,0,0.001,0.001,0,0,0.001,0,0,0,0,0,
SORTED,3000,0.009,0,0.001,0.016,0,0,0.002,0.003,0,0,0,0,
SORTED,10000,0.1,0,0.004,0.101,0,0.001,0.006,0.01,0,0.001,0.002,0.001,
SORTED,30000,0.872,0.001,0.015,1.011,0,0.003,0.018,0.02,0.002,0.002,0.007,0.001,
SORTED,100000,9.753,0.001,0.043,9.844,0.001,0.009,0.046,0.054,0.005,0.005,0.025,0.005,
REVERSED,1000,0.004,0.002,0.002,0.003,0.003,0,0,0,0,0,0,0.001,
REVERSED,3000,0.015,0.019,0.017,0.029,0.029,0,0.001,0.002,0,0,0,0.001,
REVERSED,10000,0.173,0.144,0.17,0.282,0.252,0.001,0.005,0.006,0,0.001,0.003,0,
REVERSED,30000,1.488,1.087,0.803,1.669,1.894,0.004,0.015,0.017,0.002,0.002,0.007,0.002,
REVERSED,100000,15.199,10.397,8.249,16.495,17.619,0.012,0.065,0.047,0.005,0.007,0.025,0.004,
RANDOM,1000,0.004,0.001,0.001,0.004,0.003,0,0.001,0.001,0.001,0,0,0,
RANDOM,3000,0.043,0.009,0.015,0.039,0.033,0.001,0.002,0.003,0.002,0.001,0.002,0.001,
RANDOM,10000,0.275,0.081,0.091,0.302,0.173,0.004,0.007,0.01,0.004,0.002,0.003,0.002,
RANDOM,30000,2.083,0.478,0.538,2.779,1.758,0.013,0.022,0.021,0.009,0.004,0.01,0.006,
RANDOM,100000,20.545,5.645,4.704,24.015,18.337,0.027,0.045,0.053,0.018,0.01,0.02,0.011,
NEARLYSORTED,1000,0.001,0,0,0.001,0,0,0,0.001,0,0,0.001,0,
NEARLYSORTED,3000,0.009,0,0,0.008,0,0,0.001,0.001,0,0,0,0,
NEARLYSORTED,10000,0.085,0,0.002,0.095,0,0.001,0.004,0.005,0.001,0,0.001,0.001,
NEARLYSORTED,30000,0.75,0,0.009,0.762,0,0.001,0.009,0.012,0.001,0.001,0.004,0.001,
NEARLYSORTED,100000,8.361,0.001,0.03,8.501,0.001,0.006,0.034,0.04,0.004,0.003,0.013,0.003,
